order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,payment_sequential,payment_type,payment_installments,payment_value,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,review_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,month,total_spend,total_orders,segment
53cdb2fc8bc7dce0b6741e2150273451,b0830fb4747a6c6d20dea0b8c802d7ef,delivered,2018-07-24 20:41:37,2018-07-26 03:24:27,2018-07-26 14:31:00,2018-08-07 15:27:45,2018-08-13 00:00:00,af07308b275d755c9edb36a90c618231,47813,barreiras,BA,1,boleto,1,141.46,1,595fac2a385ac33a80bd5114aec74eb8,289cdb325fb7e7f891c38608bf9e0962,2018-07-30 03:24:27,118.7,22.76,perfumaria,29.0,178.0,1.0,400.0,19.0,13.0,19.0,8d5266042046a06655c8db133d120ba5,4,Muito boa a loja,Muito bom o produto.,2018-08-08 00:00:00,2018-08-08 18:37:50,2018-07,141.46,1,Medium
40c5e18f7d112b59b3e5113a59a905b3,67407057a7d5ee17d1cd09523f484d13,delivered,2018-06-11 10:25:52,2018-06-11 10:58:32,2018-06-14 13:03:00,2018-06-19 00:31:13,2018-07-16 00:00:00,7cfba6e55439cae3fd2479d62fafe67f,22240,rio de janeiro,RJ,1,credit_card,3,128.68,1,595fac2a385ac33a80bd5114aec74eb8,ef0ace09169ac090589d85746e3e036f,2018-06-15 10:58:32,119.9,8.78,perfumaria,29.0,178.0,1.0,400.0,19.0,13.0,19.0,87bed0b5fb6856c9328d5e60df70546a,5,super recomento,Entrega antes da data marcada. Excelente,2018-06-20 00:00:00,2018-06-20 13:12:42,2018-06,128.68,1,Medium
86674ccaee19790309333210917b2c7d,1b338293f35549b5e480b9a3d7bbf3cd,delivered,2018-08-09 11:37:35,2018-08-09 14:35:19,2018-08-10 14:34:00,2018-08-14 18:51:47,2018-08-22 00:00:00,8b8028d453a01986b48c4271cc341475,14500,ituverava,SP,1,credit_card,5,135.82,1,595fac2a385ac33a80bd5114aec74eb8,289cdb325fb7e7f891c38608bf9e0962,2018-08-13 14:31:29,116.9,18.92,perfumaria,29.0,178.0,1.0,400.0,19.0,13.0,19.0,ebd3c6f3c54ee7cbdecefd57d5d57d1e,5,super recomendo,estou satisfeito,2018-08-15 00:00:00,2018-08-18 16:12:50,2018-08,135.82,1,Medium
f913d229653fdd809c249ed98ab6b754,e1365d7b227b247b6bc0931771885eaf,delivered,2018-04-30 02:18:32,2018-04-30 03:00:14,2018-04-30 13:54:00,2018-05-08 17:53:51,2018-05-24 00:00:00,66c70ed7726abccfbee61a9a39de15c5,90050,porto alegre,RS,1,credit_card,4,137.45,1,595fac2a385ac33a80bd5114aec74eb8,ef0ace09169ac090589d85746e3e036f,2018-05-07 02:31:13,119.9,17.55,perfumaria,29.0,178.0,1.0,400.0,19.0,13.0,19.0,ff25eee85259b7a0991f9643a0b6dc34,5,Ótimo ,Mais uma ve satisfeito ,2018-05-09 00:00:00,2018-05-10 01:17:48,2018-04,137.45,1,Medium
aee682982e18eb4714ce9f97b15af5e2,8858442ea4d5dc5bb9e118e8f728095d,delivered,2018-07-09 18:46:28,2018-07-11 03:45:45,2018-07-11 15:01:00,2018-07-12 18:14:35,2018-07-18 00:00:00,3edcab192482e9871c17b34cf98c3996,33820,ribeirao das neves,MG,1,boleto,1,128.04,1,595fac2a385ac33a80bd5114aec74eb8,289cdb325fb7e7f891c38608bf9e0962,2018-07-13 03:45:45,118.7,9.34,perfumaria,29.0,178.0,1.0,400.0,19.0,13.0,19.0,7a48dff7ae9e5a6d9187517daa9d9908,5,Muito bom,"Gostei bastante mas,a fragrância e mais fraca",2018-07-13 00:00:00,2018-07-17 16:31:39,2018-07,254.26999999999998,2,Medium
f7f0b79050e7ef0b1cf7ffceb0aa114a,46fb8cff647939aaf32c4ab5be554501,delivered,2018-08-04 14:40:31,2018-08-07 04:44:36,2018-08-13 15:19:00,2018-08-14 15:08:57,2018-08-10 00:00:00,3edcab192482e9871c17b34cf98c3996,33821,ribeirao das neves,MG,1,boleto,1,126.23,1,595fac2a385ac33a80bd5114aec74eb8,289cdb325fb7e7f891c38608bf9e0962,2018-08-09 04:44:36,116.9,9.33,perfumaria,29.0,178.0,1.0,400.0,19.0,13.0,19.0,999ce675f2f793a2360d9809a2b37252,4,Bom,Chegou atrasado mas está valendo,2018-08-15 00:00:00,2018-08-17 05:10:54,2018-08,254.26999999999998,2,Medium
bf0b0091259a3839db4a335aa1b4c8dd,bdccd7d99b0a5094e9f43ee3a616869c,delivered,2018-05-05 16:10:01,2018-05-05 16:29:58,2018-05-07 12:53:00,2018-05-10 23:42:30,2018-06-06 00:00:00,8ca53e042ce7311d511423468440dec0,22755,rio de janeiro,RJ,1,credit_card,4,128.68,1,595fac2a385ac33a80bd5114aec74eb8,ef0ace09169ac090589d85746e3e036f,2018-05-10 16:29:58,119.9,8.78,perfumaria,29.0,178.0,1.0,400.0,19.0,13.0,19.0,7eff7baac9a84fa3616a5cd0e663e765,5,Entrega perfeita ,Recebi muito antes do prazo. Amei! Foi meu presente do Dia das Mães. ,2018-05-11 00:00:00,2018-05-13 01:31:56,2018-05,128.68,1,Medium
d543201a9b42a1402ff97e65b439a48b,971bf8f42a9f8cb3ead257854905b454,delivered,2018-08-21 10:00:25,2018-08-21 10:50:54,2018-08-22 15:21:00,2018-08-28 18:58:22,2018-09-10 00:00:00,958ac7760e5484df1496ba5833ab6117,89117,gaspar,SC,1,credit_card,2,279.3,1,595fac2a385ac33a80bd5114aec74eb8,289cdb325fb7e7f891c38608bf9e0962,2018-08-23 10:50:54,116.9,22.75,perfumaria,29.0,178.0,1.0,400.0,19.0,13.0,19.0,8892abc02a527ef7535564ecfc0d0133,5,super recomendo,"entrega no prazo, amei",2018-08-29 00:00:00,2018-09-11 12:15:59,2018-08,558.6,1,High
d543201a9b42a1402ff97e65b439a48b,971bf8f42a9f8cb3ead257854905b454,delivered,2018-08-21 10:00:25,2018-08-21 10:50:54,2018-08-22 15:21:00,2018-08-28 18:58:22,2018-09-10 00:00:00,958ac7760e5484df1496ba5833ab6117,89117,gaspar,SC,1,credit_card,2,279.3,2,595fac2a385ac33a80bd5114aec74eb8,289cdb325fb7e7f891c38608bf9e0962,2018-08-23 10:50:54,116.9,22.75,perfumaria,29.0,178.0,1.0,400.0,19.0,13.0,19.0,8892abc02a527ef7535564ecfc0d0133,5,super recomendo,"entrega no prazo, amei",2018-08-29 00:00:00,2018-09-11 12:15:59,2018-08,558.6,1,High
fc74153e0ac39bb68c8f8f9e4758f001,787c8dad81798b72c5ae7d0ed526192e,delivered,2018-04-12 12:40:46,2018-04-13 12:50:48,2018-04-18 20:51:19,2018-06-29 17:03:25,2018-05-11 00:00:00,40dcf0ca504c92ee3e0e59ee94fb9423,59970,marcelino vieira,RN,1,credit_card,3,169.02,1,595fac2a385ac33a80bd5114aec74eb8,ef0ace09169ac090589d85746e3e036f,2018-04-19 12:50:48,117.7,51.32,perfumaria,29.0,178.0,1.0,400.0,19.0,13.0,19.0,237ec2d8031fa4fc3d6eb3c1825273ed,1,Entrega e Atendimento,Péssimo atendimento!,2018-05-16 00:00:00,2018-05-23 11:51:24,2018-04,169.02,1,Medium
50c40cfcbb6ce3fca8d6f93698f41927,f27c88ecfbccedc0127c008cf5b2da0f,delivered,2018-06-09 09:30:43,2018-06-09 09:52:04,2018-06-14 12:42:00,2018-06-18 23:41:43,2018-07-04 00:00:00,76be245548e95dc01f2c019f1d71ff8e,6045,osasco,SP,1,credit_card,2,135.62,1,595fac2a385ac33a80bd5114aec74eb8,ef0ace09169ac090589d85746e3e036f,2018-06-14 09:52:04,119.9,15.72,perfumaria,29.0,178.0,1.0,400.0,19.0,13.0,19.0,8125404d834e0d5efb9ab3bd28c8229a,5,ss,xx,2018-06-19 00:00:00,2018-06-22 17:13:29,2018-06,135.62,1,Medium
9883744c6400cfad8a620ddb82b9793c,df7f0c302322f4a233a07fb9cbddb46c,delivered,2018-05-02 10:19:23,2018-05-02 10:34:27,2018-05-07 11:32:00,2018-05-08 21:06:05,2018-05-24 00:00:00,7dd163b8e3d4e09daa9e16091dd6dd26,4002,sao paulo,SP,1,credit_card,2,271.24,1,595fac2a385ac33a80bd5114aec74eb8,ef0ace09169ac090589d85746e3e036f,2018-05-08 10:31:25,119.9,15.72,perfumaria,29.0,178.0,1.0,400.0,19.0,13.0,19.0,6e81ec010c1cf88bb49eefc15e6ba8ae,5,super recomendo,Fui muito bem atendida,2018-05-09 00:00:00,2018-05-21 18:01:40,2018-05,542.48,1,High
